color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,martin scorsese,240,116866727,biography|comedy|crime|drama,the wolf of wall street,2013,english,usa,100000000,8.2,"leonardo dicaprio,matthew mcconaughey,jon favreau",138000
color,shane black,195,408992272,action|adventure|sci-fi,iron man 3,2013,english,usa,200000000,7.2,"robert downey jr.,jon favreau,don cheadle",95000
color,quentin tarantino,187,54116191,crime|drama|mystery|thriller|western,the hateful eight,2015,english,usa,44000000,7.9,"craig stark,jennifer jason leigh,zoë bell",114000
color,kenneth lonergan,186,46495,drama,margaret,2011,english,usa,14000000,6.5,"matt damon,kieran culkin,john gallagher jr.",0
color,peter jackson,186,258355354,adventure|fantasy,the hobbit: the desolation of smaug,2013,english,usa,225000000,7.9,"aidan turner,adam brown,james nesbitt",83000
color,unknown,183,330249062,action|adventure|sci-fi,batman v superman: dawn of justice,202,english,usa,250000000,6.9,"henry cavill,lauren cohan,alan d. purwin",197000
color,joss whedon,173,623279547,action|adventure|sci-fi,the avengers,2012,english,usa,220000000,8.1,"chris hemsworth,robert downey jr.,scarlett johansson",123000
color,joss whedon,173,623279547,action|adventure|sci-fi,the avengers,2012,english,usa,220000000,8.1,"chris hemsworth,robert downey jr.,scarlett johansson",123000
color,null,158,102515793,crime|drama|mystery|thriller,the girl with the dragon tattoo,2011,english,usa,90000000,7.8,"robin wright,goran visnjic,joely richardson",54000
color,christopher spencer,170,59696176,unknown,son of god,2014,english,usa,22000000,5.6,"roma downey,amber rose revah,darwin shaw",15000
color,christopher nolan,169,187991439,adventure|drama|sci-fi,interstellar,2014,english,usa,165000000,8.6,"matthew mcconaughey,anne hathaway,mackenzie foy",349000
color,f. gary gray,167,161029270,biography|crime|drama|history|music,straight outta compton,2015,english,usa,28000000,7.9,"aldis hodge,neil brown jr.,r. marcos taylor",76000
color,richard linklater,165,25359200,drama,boyhood,2014,english,usa,4000000,8,"ellar coltrane,lorelei linklater,libby villari",92000
color,quentin tarantino,580,162804648,drama|western,django unchained,2012,english,usa,100000000,8.5,"leonardo dicaprio,christoph waltz,ato essandoh",199000
color,michael bay,165,245428137,action|adventure|sci-fi,transformers: age of extinction,2014,english,usa,210000000,5.7,"bingbing li,sophia myles,kelsey grammer",56000
color,christopher nolan,164,448130642,action|thriller,the dark knight rises,2012,english,usa,250000000,8.5,"tom hardy,christian bale,joseph gordon-levitt",164000
color,peter jackson,164,255108370,adventure|fantasy,the hobbit: the battle of the five armies,2014,english,new zealand,250000000,7.5,"aidan turner,adam brown,james nesbitt",65000
color,tom hooper,158,148775460,drama|musical|romance,les misérables,2012,english,usa,61000000,7.6,"hugh jackman,eddie redmayne,anne hathaway",144000
color,tom hooper,158,148775460,drama|musical|romance,les misérables,2012,english,usa,61000000,7.6,"hugh jackman,eddie redmayne,anne hathaway",144000
color,kathryn bigelow,157,95720716,drama|history|thriller,zero dark thirty,2012,english,usa,40000000,7.4,"jennifer ehle,harold perrineau,parker sawyers",39000
color,ridley scott,156,105219735,action|adventure|drama|history,robin hood,2010,english,usa,200000000,6.7,"mark addy,william hurt,scott grimes",17000
color,unknown,156,183635922,adventure|drama|thriller|western,the revenant,2015,english,usa,135000000,8.1,"leonardo dicaprio,tom hardy,lukas haas",190000
color,michael bay,154,352358779,action|adventure|sci-fi,transformers: dark of the moon,2011,english,usa,195000000,6.3,"glenn morshower,lester speight,kevin dunn",46000
color,denis villeneuve,153,60962878,crime|drama|mystery|thriller,prisoners,2013,english,usa,46000000,8.1,"hugh jackman,jake gyllenhaal,dylan minnette",86000
color,marc webb,153,262030663,action|adventure|fantasy,the amazing spider-man,2012,english,usa,230000000,7,"emma stone,andrew garfield,chris zylka",56000
color,nan,151,228430993,adventure|drama|sci-fi,the martian,2015,english,usa,108000000,8.1,"matt damon,donald glover,benedict wong",153000
color,ridley scott,150,65007045,action|adventure|drama,exodus: gods and kings,2014,english,uk,140000000,6.1,"christian bale,maría valverde,ben mendelsohn",51000
color,ridley scott,150,65007045,action|adventure|drama,exodus: gods and kings,2014,english,uk,140000000,6.1,"christian bale,maría valverde,ben mendelsohn",51000
color,unknown,150,182204440,biography|drama|history|war,lincoln,2012,english,usa,65000000,7.4,"joseph gordon-levitt,hal holbrook,bruce mcgill",71000
color,gore verbinski,650,89289910,action|adventure|western,the lone ranger,2013,english,usa,215000000,6.5,"johnny depp,ruth wilson,tom wilkinson",48000
color,david fincher,149,167735396,crime|drama|mystery|thriller,gone girl,2014,english,usa,61000000,8.1,"patrick fugit,sela ward,emily ratajkowski",146000
color,bryan singer,149,233914986,action|adventure|fantasy|sci-fi|thriller,x-men: days of future past,2014,english,united states,200000000,8,"jennifer lawrence,peter dinklage,hugh jackman",82000
color,christopher nolan,148,292568851,action|adventure|sci-fi|thriller,inception,2010,english,usa,160000000,8.8,"leonardo dicaprio,tom hardy,joseph gordon-levitt",175000
color,paul thomas anderson,148,8093318,comedy|crime|drama|mystery|romance,inherent vice,2014,english,usa,20000000,6.7,"martin dew,katherine waterston,serena scott thomas",18000
color,sam mendes,148,200074175,action|adventure|thriller,spectre,2015,english,uk,245000000,6.8,"christoph waltz,rory kinnear,stephanie sigman",85000
color,unknown,147,407197282,action|adventure|sci-fi,captain america: civil war,2016,english,usa,250000000,8.2,"robert downey jr.,scarlett johansson,chris evans",72000
color,michael patrick king,146,95328937,comedy|drama|romance,sex and the city 2,2010,english,usa,100000000,4.3,"chris noth,liza minnelli,kristin davis",0
color,tate taylor,146,169705587,drama,the help,2011,english,usa,25000000,8.1,"emma stone,bryce dallas howard,mike vogel",75000
color,francis lawrence,146,424645577,adventure|sci-fi|thriller,the hunger games: catching fire,2013,english,usa,130000000,7.6,"jennifer lawrence,josh hutcherson,sandra ellis lafferty",82000
black and white,steven spielberg,146,79883359,drama|war,war horse,2011,english,usa,66000000,7.2,"jeremy irvine,benedict cumberbatch,eddie marsan",28000
color,michael bay,144,52822418,action|drama|thriller|war,13 hours,2016,english,usa,50000000,7.4,"toby stephens,james badge dale,david costabile",44000
color,guillaume canet,144,41229,crime|drama|thriller,blood ties,2013,english,france,25500000,6.5,"mila kunis,lili taylor,billy crudup",0
color,paul thomas anderson,144,16377274,drama,the master,2012,english,usa,32000000,7.1,"mike howard,jeffrey w. jenkins,bruce goodchild",27000
color,bryan singer,144,154985087,action|adventure|sci-fi,x-men: apocalypse,2016,english,usa,178000000,7.3,"jennifer lawrence,michael fassbender,tye sheridan",54000
color,adam mckay,143,2175312,comedy,anchorman 2: the legend continues,2013,english,usa,50000000,6.3,"harrison ford,will ferrell,steve carell",41000
color,zack snyder,143,291021565,action|adventure|fantasy|sci-fi,man of steel,2013,english,usa,225000000,7.2,"henry cavill,christopher meloni,harry lennix",118000
color,sam mendes,143,304360277,action|adventure|thriller,skyfall,2012,english,uk,200000000,7.8,"albert finney,helen mccrory,rory kinnear",80000
color,sam mendes,143,304360277,action|adventure|thriller,skyfall,2012,english,uk,200000000,7.8,"albert finney,helen mccrory,rory kinnear",80000
color,baz luhrmann,143,144812796,drama|romance,the great gatsby,2013,english,australia,105000000,7.3,"leonardo dicaprio,elizabeth debicki,steve bisley",115000
color,baz luhrmann,143,144812796,drama|romance,the great gatsby,2013,english,australia,105000000,7.3,"leonardo dicaprio,elizabeth debicki,steve bisley",115000
color,steven spielberg,142,72306065,drama|history|thriller,bridge of spies,2015,english,usa,40000000,7.6,"tom hanks,mark rylance,amy ryan",55000
color,marc webb,142,202853933,action|adventure|fantasy|sci-fi,the amazing spider-man 2,2014,english,usa,200000000,6.7,"emma stone,andrew garfield,b.j. novak",41000
color,unknown,142,407999255,adventure|drama|sci-fi|thriller,the hunger games,2012,english,usa,78000000,7.3,"jennifer lawrence,josh hutcherson,anthony reynolds",140000
color,joss whedon,141,458991599,action|adventure|sci-fi,avengers: age of ultron,2015,english,usa,250000000,7.5,"chris hemsworth,robert downey jr.,scarlett johansson",118000
